"Nombre de módulo","Autor","Sitio web","Última versión"
"Invoice Fiscal Position Update","Julius Network Solutions,Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.4"
"Account Fixed Discount","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.2"
"Force Invoice Number","Agile Business Group, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Force Invoice Origin","Level Prime Srl, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Inter Company Invoices","Odoo SA, Akretion, Odoo Community Association (OCA)","https://github.com/OCA/multi-company","13.0.2.0.8"
"Account invoice line description","Agile Business Group, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Account Invoice Line Report","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.0.0"
"Account Invoice Line Sale Line Position","Camptocamp, Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.0.0"
"Account Invoice line with sequence number","Camptocamp, Eficent, Serpent CS, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing.git","13.0.1.0.0"
"Account Invoice Mode At Shipping","Camptocamp, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Invoice Mode Monthly","Camptocamp, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Invoice Move Currency","ADHOC SA","www.adhoc.com.ar","13.0.1.2.0"
"Account - Pricelist on Invoices","GRAP,Therp BV,Tecnativa,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.4"
"Account Invoice Pricelist - Sale","Therp BV,GRAP,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.1"
"Account Invoice Prices Update","ADHOC SA","www.adhoc.com.ar","13.0.1.0.0"
"Invoice Production Lots","Agile Business Group,Tecnativa,Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.0.1"
"Account invoice refund line","Creu Blanca, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.4"
"Show links between refunds and their originator invoices","Pexego, Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.1.1"
"Account Invoice Reinvoice Refund","Creu Blanca,Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Account Invoice Report Due List","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.1.0"
"Account Invoice Grouped by Picking","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.0.6"
"Account Invoice Grouped by Picking - Sale MRP","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.0.0"
"Account Invoice Report Payment Extended Info","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoice-reporting","13.0.1.0.1"
"Account invoice search by reference","ForgeFlow, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
"Acccount Invoice Section Sale Order","Camptocamp, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.1.0"
"Account Invoice Select for Payment","Camptocamp,Odoo Community Association (OCA)","https://github.com/OCA/bank-payment","13.0.1.0.0"
"Account Invoice Show Currency Rate","Tecnativa, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.2"
"Account Invoice Start End Dates","Akretion,Odoo Community Association (OCA)","https://github.com/OCA/account-closing","13.0.1.1.0"
"Reuse Supplier Invoice References","Camptocamp, Odoo Community Association (OCA)","https://github.com/OCA/account-invoicing","13.0.1.0.0"
